"desig","details","org","loc","keyskills","date","expLow","expHigh","salLow","job"
"Data Wrangler- Project Lead","Data Wrangler- Project Lead","Confidential","Bengaluru","Data Wrangler- Project Lead- Oracle- SQL Server- MySQL- Cassandra- Hive...","2018-03-07",7.0,10.0,0.0,"DS"
"Senior Computer Scientist - R/python/matlab","Senior Computer Scientist - R/python/matlab","Premium","Bengaluru","C- Computer Vision- Deep Learning- C++- Machine Learning- MATLAB- Python...","2018-03-28",3.0,5.0,0.0,"DS"
"Analytics Data Wrangler- Project Lead","Analytics Data Wrangler- Project Lead","Confidential","Bengaluru","Analytics Data Wrangler- Oracle- SQL Server- MySQL- Cassandra- Hive- Paxata...","2018-03-07",7.0,10.0,0.0,"DS"
"Fraud Analyst","Fraud Analyst","Premium","Bengaluru","Data Science- Python- SQL- Data Analysis- Excel- Fraud Monitoring...","2018-03-23",3.0,8.0,0.0,"DS"
"Technical Lead - Big Data ( Java Pyhton Scala Nosql)","Technical Lead - Big Data ( Java Pyhton Scala Nosql)","Augusta Infotech","Bengaluru(Manayata Tech Park)","hive- java- spark- impala- scala- nosql- machine learning- elastic search...","2018-03-31",6.0,11.0,0.0,"DS"
"Big Data Developer with Java / Python / Scala and Nosql","Big Data Developer with Java / Python / Scala and Nosql","Augusta Infotech","Bengaluru(Manayata Tech Park)","java- scala- software development methodologies- python- algorithms...","2018-03-31",2.0,6.0,0.0,"DS"
"Con - SCM Analytics","Con - SCM Analytics","Pylon Management Consulting Pvt Ltd","Bengaluru","demand planning- supply chain management- supply planning...","2018-03-21",2.0,4.0,0.0,"DS"
"Machine Learning Role - Ecommerce/bfsi/retail Industry(5-15 yrs)","Machine Learning Role - Ecommerce/bfsi/retail Industry(5-15 yrs)","Careernet Technologies Pvt Ltd","Bengaluru- Kolkata","SAS- Hadoop- R- Hive- SQL- Machine Learning- Time Series...","2018-03-26",9.0,14.0,3000000.0,"DS"
"Opening For Business Analyst","Opening For Business Analyst","Global Hunt India Pvt. Ltd.","Bengaluru","Business Analysis- Data Mining- Problem Solving- SAS Analyst...","2018-03-23",3.0,8.0,0.0,"DS"
"Full Stack DWH Technical Lead - Data Mining & Modeling","Full Stack DWH Technical Lead - Data Mining & Modeling","Premium","Chennai","Hive- Hadoop- Pig- HBase- NoSQL- SQL- Big Data- R- Solr- SAS...","2018-03-20",8.0,12.0,0.0,"DS"
