link, desig, details, org, loc, exp, keyskills, descl, salary, date, expLow, expHigh, salLow, salHigh 
https://www.naukri.com/job-listings-Internship-Trainee-MBA-Hr-finance-and-Marketing-with-Project-CARZ-Vahan-Motors-Pvt-Ltd-Hyderabad-0-to-1-years-281017002313?src=jobsearchDesk&sid=15229205417100&xp=3&px=25,Internship Trainee - MBA Hrfinance and Marketing  with Project,Internship Trainee - MBA Hrfinance and Marketing  with Project,CARZ - Vahan Motors Pvt Ltd,Hyderabad,0-1 yrs,HR Analytics- Marketing- Branding- Workforce Planning- Learning- MBA, ,50000 - 60000 P.A. Full time hired based on Performan...,2018-03-30,0,1,50000,60000
https://www.naukri.com/job-listings-Marketing-Manager-travel-Industry-surat-Jobs-hire-Surat-2-to-6-years-280318007347?src=jobsearchDesk&sid=15229205417100&xp=4&px=25,Marketing Manager-travel Industry-surat,Marketing Manager-travel Industry-surat,Jobs hire,Surat,2-6 yrs,marketing- Branding- atl- btl- promotion- travel- tour- tourism..., ,Not disclosed,2018-04-02,2,6,0,0
https://www.naukri.com/job-listings-Chief-Marketing-Officer-Agri-Business-Digital-soln-25-30-Yrs-Noida-Breter-Managings-Noida-Sector-146-Noida-25-to-30-years-270318004858?src=jobsearchDesk&sid=15229205417100&xp=5&px=25,Chief Marketing Officer- Agri Business Digital soln 25-30 Yrs Noida,Chief Marketing Officer- Agri Business Digital soln 25-30 Yrs Noida,Breter Managings,Noida(Sector-146 Noida),25-30 yrs,sales operations- marketing- agribusiness- digitalization..., ,3250000 - 3750000 P.A. + Equity,2018-04-01,25,30,3250000,3750000
https://www.naukri.com/job-listings-Marketing-Executive-MGH-Labs-Private-Limited-Chennai-0-to-5-years-270318002392?src=jobsearchDesk&sid=15229205417100&xp=6&px=25,Marketing Executive,Marketing Executive,MGH Labs Private Limited,Chennai,0-5 yrs,Marketing- Sales, ,275000 - 550000 P.A. other perks and allowance will...,2018-04-02,0,5,275000,550000
https://www.naukri.com/job-listings-Marketing-Executive-Social-Media-Ceebros-Hotels-Pvt-Ltd-Chennai-Teynampet-2-to-4-years-260318005666?src=jobsearchDesk&sid=15229205417100&xp=7&px=25,Marketing Executive - Social Media,Marketing Executive - Social Media,Ceebros Hotels Pvt Ltd.,Chennai(Teynampet),2-4 yrs,Social Media- Marketing- Facebook- Content Creation, ,250000 - 500000 P.A.,2018-03-30,2,4,250000,500000
https://www.naukri.com/job-listings-Urgent-Hiring-For-Manager-Dpty-Manager-Sales-Marketing-SEAWAYS-SHIPPING-AND-LOGISTICS-LIMITED-Kolkata-Park-Circus-8-to-13-years-260318002830?src=jobsearchDesk&sid=15229205417100&xp=8&px=25,Urgent Hiring For Manager/ Dpty Manager- Sales & Marketing,Urgent Hiring For Manager/ Dpty Manager- Sales & Marketing,SEAWAYS SHIPPING AND LOGISTICS LIMITED,Kolkata(Park Circus),8-13 yrs,Sales Management- Marketing, ,300000 - 600000 P.A.,2018-03-31,8,13,300000,600000
https://www.naukri.com/job-listings-Marketing-Executive-Eagle-4-Security-Solutions-Gurgaon-0-to-2-years-260318002105?src=jobsearchDesk&sid=15229205417100&xp=9&px=25,Marketing Executive,Marketing Executive,Eagle 4 Security Solutions,Gurgaon,0-2 yrs,Fresher, ,100000 - 350000 P.A.,2018-03-31,0,2,100000,350000
https://www.naukri.com/job-listings-Tele-Marketing-Executive-Tele-Caller-mumbai-Confidential-Mumbai-0-to-1-years-250118000561?src=jobsearchDesk&sid=15229205417100&xp=10&px=25,Tele Marketing Executive / Tele Caller (mumbai),Tele Marketing Executive / Tele Caller (mumbai),Confidential,Mumbai,0-1 yrs,outbound- inbound- Tele Caller- Tele Marketing Executive- tele calling..., ,Not disclosed,2018-03-29,0,1,0,0
https://www.naukri.com/job-listings-Executive-Sales-Marketing-Male-Female-Ghaziabad-Giti-Tech-Solution-Ghaziabad-0-to-2-years-240318004036?src=jobsearchDesk&sid=15229205417100&xp=11&px=25,Executive - Sales & Marketing - Male & Female - Ghaziabad,Executive - Sales & Marketing - Male & Female - Ghaziabad,Giti Tech Solution,Ghaziabad,0-2 yrs,Sales Executive Activities- Marketing- Mba- Communication Skills, ,100000 - 200000 P.A.,2018-04-03,0,2,100000,200000
https://www.naukri.com/job-listings-Start-your-Career-in-Digital-Marketing-hr-Executive-promoter-Time-For-Success-Delhi-NCR-Dehradun-Faridabad-Gurgaon-Lucknow-Noida-Chandigarh-Bhiwani-Bengaluru-0-to-1-years-231117001758?src=jobsearchDesk&sid=15229205417100&xp=12&px=25,Start your Career in Digital Marketing/hr Executive/promoter,Start your Career in Digital Marketing/hr Executive/promoter,Time For Success,Delhi NCR- Dehradun- Faridabad- Gurgaon- Lucknow- Noida- Chandigarh- Bhiwani- Bengaluru,0-1 yrs,fresher- part time- full time- work from home- Computer Operator..., ,400000 - 650000 P.A.,2018-04-02,0,1,400000,650000
